riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role
PELOTASDECHEMA,1,0.0,1695.5160574399008,2.0,595.2378642452618,3.357142857142857,0.746031746031746,13.0,0.0,0.0,47.0,0.0,0.2011812850721419,0.0,42.0,0.0,96.0,781.0,781.0,0.0,0.0,5.0,14.0,0.0,,,28333.0,15284.0,0.0,0.0,0.0,32.0,13.0,,1540.0,0.0,1.0,0.746031746031746,3.357142857142857,0.1439584348257555,400.0,18.0,,150.0,150.0,317.0,0.0,0.0,1.2467532467532467,0.2597402597402597,aram
PGG03,1,100.0,1337.8283568257625,5.0,720.738359646851,2.7777777777777777,0.7692307692307693,15.0,0.0,0.0,93.0,0.0,0.1468193451450484,0.0,43.0,9.0,59.0,3685.0,3685.0,0.0,23.0,7.0,18.0,0.0,,,27695.0,17682.0,0.0,0.0,0.0,46.0,15.0,,1471.0,0.0,1.0,0.7692307692307693,2.7777777777777777,0.1947093820521763,438.0,18.0,,0.0,0.0,401.0,0.0,0.0,1.876274643099932,0.2977566281441196,aram
PH2013,1,100.0,2333.5802824714738,0.0,824.6160583144322,3.0,0.6792452830188679,25.0,0.0,0.0,44.0,0.0,0.2343378898674147,0.0,13.0,1.0,11.0,4193.0,4193.0,0.0,0.0,23.0,12.0,0.0,,,25943.0,19917.0,0.0,0.0,0.0,80.0,25.0,,1449.0,0.0,2.0,0.6792452830188679,3.0,0.1513680314582821,337.0,18.0,,0.0,0.0,19.0,0.0,0.0,3.312629399585921,0.2325741890959282,aram
PHlPS,1,0.0,2098.495366336464,0.0,700.0749922046433,2.35,0.7230769230769231,9.0,0.0,0.0,41.0,0.0,0.2802684582567901,0.0,33.0,0.0,20.0,914.0,914.0,0.0,0.0,14.0,20.0,0.0,,,22710.0,15742.0,0.0,0.0,0.0,22.0,9.0,,1349.0,0.0,1.0,0.7230769230769231,2.35,0.2083360936039953,546.0,18.0,,0.0,0.0,153.0,0.0,0.0,0.9785025945144552,0.4047442550037065,aram
PMSFadewayBanana,1,0.0,2353.4960089837737,2.0,725.7569911287047,4.2,0.8235294117647058,28.0,0.0,0.0,47.0,0.0,0.2648800534596832,0.0,30.0,0.0,222.0,2642.0,2642.0,0.0,0.0,12.0,10.0,0.0,,,22201.0,16244.0,0.0,0.0,0.0,77.0,28.0,,1342.0,0.0,0.0,0.8235294117647058,4.2,0.1459477023169712,298.0,18.0,,659.0,659.2281494140625,134.0,0.0,0.0,3.442622950819672,0.2220566318926974,aram
POPIPOPIGAMEPLAY,1,0.0,1264.2480851893615,24.0,622.1313925970084,1.0625,0.4358974358974359,15.0,0.0,0.0,195.0,0.0,0.2004675917611253,0.0,6.0,0.0,122.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,,,18395.0,12408.0,0.0,0.0,0.0,23.0,15.0,,1196.0,0.0,5.0,0.4358974358974359,1.0625,0.3063908332709331,428.0,18.0,,0.0,0.0,189.0,0.0,0.0,1.1538461538461535,0.3578595317725752,aram
PORSCHETURBO,1,100.0,2020.6400400921927,0.0,681.1535737378682,4.25,0.5964912280701754,18.0,0.0,0.0,53.0,0.0,0.2046599180225107,0.1416224078482495,29.0,0.0,9.0,2048.0,2048.0,0.0,0.0,5.0,8.0,0.0,,,17804.0,11605.0,0.0,0.0,0.0,38.0,18.0,,1022.0,0.0,0.0,0.5964912280701754,4.25,0.1497866215092025,218.0,17.0,,0.0,0.0,595.0,0.0,0.0,2.23091976516634,0.2133072407045009,aram
PPollux,1,0.0,1148.3703867564873,1.0,660.5531410790811,2.4,0.5714285714285714,26.0,0.0,0.0,22.0,0.0,0.160041841110337,0.0,17.0,0.0,110.0,371.0,371.0,0.0,0.0,7.0,10.0,0.0,,,13540.0,10630.0,0.0,0.0,0.0,37.0,26.0,,965.0,0.0,0.0,0.5714285714285714,2.4,0.158547574030152,252.0,15.0,,0.0,0.0,158.0,0.0,0.0,2.300518134715026,0.261139896373057,aram
PROJECT Domeo,1,0.0,1239.2982616144295,4.0,624.2441447575568,2.8666666666666667,0.7049180327868853,16.0,0.0,0.0,99.0,0.0,0.1513674278126655,0.0,34.0,0.0,412.0,366.0,366.0,0.0,0.0,9.0,15.0,0.0,,,19956.0,13764.0,0.0,0.0,0.0,29.0,16.0,,1322.0,0.0,0.0,0.7049180327868853,2.8666666666666667,0.3379256071126506,372.0,18.0,,230.0,4718.95458984375,181.0,0.0,0.0,1.3161875945537065,0.2813918305597579,aram
PSF ACasaPlatita,1,0.0,380.14319765354026,0.0,584.2015435846736,5.0,0.746268656716418,5.0,0.0,0.0,33.0,1.0,0.0553594699792559,0.0,46.0,0.0,16.0,703.0,703.0,0.0,7.0,4.0,10.0,0.0,,,30971.0,15372.0,0.0,0.0,0.0,16.0,5.0,,1578.0,0.0,0.0,0.746268656716418,5.0,0.1787478905259252,265.0,18.0,,26515.0,30995.966796875,473.0,0.0,0.0,0.6083650190114068,0.1679340937896071,aram
Pablo88,1,100.0,1912.1444049047343,0.0,703.5901970735539,5.375,0.7413793103448276,31.0,0.0,0.0,8.0,0.0,0.2602500056721575,0.0,36.0,0.0,74.0,1184.0,1184.0,0.0,0.0,7.0,8.0,0.0,,,24211.0,15918.0,0.0,0.0,0.0,66.0,31.0,,1357.0,0.0,0.0,0.7413793103448276,5.375,0.1771047578083767,264.0,18.0,,615.0,615.4999389648438,141.0,0.0,0.0,2.918201915991157,0.1945467943994104,aram
Pacr0n,1,100.0,1270.4242205143605,0.0,689.2144998371091,6.166666666666667,0.8043478260869565,11.0,0.0,0.0,8.0,0.0,0.1947195998590316,0.0,33.0,0.0,63.0,2680.0,2680.0,0.0,0.0,4.0,6.0,0.0,,,17286.0,11102.0,0.0,0.0,0.0,23.0,11.0,,966.0,0.0,0.0,0.8043478260869565,6.166666666666667,0.2298644116331717,120.0,17.0,,0.0,0.0,34.0,0.0,0.0,1.4285714285714284,0.124223602484472,aram
PageOne1,1,100.0,1398.7074876773622,1.0,652.5508185821409,4.857142857142857,0.6415094339622641,15.0,0.0,0.0,29.0,0.0,0.1710463141813878,0.0,26.0,1.0,17.0,1294.0,1294.0,0.0,1.0,8.0,7.0,0.0,,,20457.0,13464.0,0.0,0.0,0.0,31.0,15.0,,1237.0,0.0,1.0,0.6415094339622641,4.857142857142857,0.112914047392077,184.0,18.0,,0.0,0.0,578.0,0.0,0.0,1.5036378334680678,0.1487469684721099,aram
Paleska,1,0.0,1070.4571369956718,1.0,696.9204511304985,2.8,0.7368421052631579,9.0,0.0,0.0,25.0,0.0,0.271363493480914,0.0,10.0,0.0,99.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,,,7196.0,6377.0,0.0,0.0,0.0,9.0,9.0,,548.0,0.0,0.0,0.7368421052631579,2.8,0.1469298995189555,73.0,10.0,,0.0,1722.1556396484375,114.0,0.0,0.0,0.9854014598540146,0.1332116788321168,aram
Palpatoox,1,0.0,2234.046916096496,2.0,843.114311385534,3.1333333333333333,0.9791666666666666,20.0,0.0,0.0,58.0,0.0,0.2519665328691576,0.0,29.0,0.0,59.0,1190.0,1190.0,0.0,2.0,18.0,15.0,0.0,,,16693.0,14575.0,0.0,0.0,0.0,26.0,20.0,,1037.0,0.0,2.0,0.9791666666666666,3.1333333333333333,0.3054514089479246,310.0,17.0,,0.0,0.0,339.0,0.0,0.0,1.5043394406943105,0.2989392478302796,aram
Panchyy,1,100.0,2596.604133287012,0.0,803.7004204522603,3.4,0.6538461538461539,53.0,0.0,0.0,63.0,0.0,0.3272683832365823,0.0,27.0,3.0,13.0,3036.0,3036.0,0.0,11.0,24.0,15.0,0.0,,,33740.0,21468.0,0.0,0.0,0.0,181.0,53.0,,1602.0,0.0,1.0,0.6538461538461539,3.4,0.2721370191248302,447.0,18.0,,0.0,0.0,237.0,0.0,0.0,6.7790262172284645,0.2790262172284644,aram
